pub_date	title	venue	excerpt	citation	url_slug	paper_url
2024-11-25	Impacts of Arctic Oil Field NOx Emissions on Downwind Bromine Chemistry: Insights from 5 years of MAX-DOAS observations	Faraday Discussions		<strong>Peterson, P. K.</strong>, Pratt, K.A., Shepson P.B., and Simpson, W.R. (2024). Impacts of Arctic Oil Field NOx Emissions on Downwind Bromine Chemistry: Insights from 5 years of MAX-DOAS observations. <i>Faraday Discussions</i>.	paper-19	https://doi.org/10.1039/D4FD00164H
2024-01-03	Tropospheric bromine monoxide vertical profiles retrieved across the Alaskan Arctic in springtime	Atmospheric Chemistry and Physics		Brockway, N., <strong>Peterson, P. K.</strong>, Bigge, K., Hajny, K.D., Shepson, P.B., Pratt, K.A., Fuentes, J.D., Starn, T., Kaeser, R., Stirm, B.H., and Simpson, W.R. (2024). Tropospheric bromine monoxide vertical profiles retrieved across the Alaskan Arctic in springtime. <i>Atmospheric Chemistry and Physics</i>. 24(1).	paper-18	https://doi.org/10.5194/acp-24-23-2024
2022-09-30	Wildfire Smoke Influence on Cloud Water Chemical Composition at Whiteface Mountain, New York	Journal of Geophysical Research Atmospheres		Lee, J. Y., <strong>Peterson, P. K.</strong>, Vear, L. R., Cook, R. D., Sullivan, A. P., Smith, E., et al. (2022). Wildfire Smoke Influence on Cloud Water Chemical Composition at Whiteface Mountain, New York. <i>Journal of Geophysical Research: Atmospheres</i>, 127, e2022JD037177.	paper-17	https://doi.org/10.1029/2022JD037177
2019-06-11	Springtime Nitrogen Oxide-Influenced Chlorine Chemistry in the Coastal Arctic	Environmental Science and Technology		McNamara, S.M., Raso, A.R.W., Wang, S., Thanekar, S., Boone, E., Kolesar, K.R., <strong>Peterson, P.K.</strong>, Simpson, W.R., Fuentes, J.D., Shepson, P.B, and Pratt, K. A.(2019). "Springtime Nitrogen Oxide-Influenced Chlorine Chemistry in the Coastal Arctic", <i>Environmental Science and Technology</i>. (2019).	paper-16	https://doi.org/10.1021/acs.est.9b01797
2019-05-03	Snowpack measurements suggest role for multi-year sea ice regions in Arctic atmospheric bromine and chlorine chemistry	Elementa: Science of the Anthropocene		<strong>Peter K. Peterson</strong>, Mark Hartwig, Nathaniel W. May, Evan Schwartz, Ignatius Rigor, Wendy Ermold, Michael Steele, James H. Morison, Son V. Nghiem, and Kerri A. Pratt. (2019). "Snowpack measurements suggest role for multi-year sea ice regions in Arctic atmospheric bromine and chlorine chemistry" <i>Elementa: Science of the Anthropocene</i>. 7(1).	paper-15	http://doi.org/10.1525/elementa.352
2018-09-07	Springtime Bromine Activation over Coastal and Inland Arctic Snowpacks	ACS Earth and Space Chemistry		<strong>Peter K. Peterson</strong>, Denis Pohler, Johannes Zielcke, Stephan General, Udo Friess, Ulrich Platt, William R. Simpson, Son V. Nghiem, Paul B. Shepson, Brian H. Stirm, and Kerri A. Pratt. (2018). "Springtime Bromine Activation over Coastal and Inland Arctic Snowpacks" <i>ACS Earth and Space Chemistry</i>. 2(10).	paper-14	https://pubs.acs.org/doi/10.1021/acsearthspacechem.8b00083
2018-09-11	Direct Determination of Aerosol pH: Size-Resolved Measurements of Submicrometer and Supermicrometer Aqueous Particles	Analytical Chemistry		Rebecca L. Craig, <strong>Peter K. Peterson</strong>, Lucy Nandy, Ziying Lei, Mohammed A. Hosain, Stephanie Camarena, Ryan A. Dodson, Ryan D. Cook, Cari S. Dutcher, and Andrew P. Ault. (2018). "Direct Determination of Aerosol pH: Size-Resolved Measurements of Submicrometer and Supermicrometer Aqueous Particles" <i>Analytical Chemistry</i>. 90(19).	paper-13	https://pubs.acs.org/doi/10.1021/acs.analchem.8b00586
2018-03-01	Increases in wintertime PM2.5 sodium and chloride linked to snowfall and road salt application	Atmospheric Environment		Katheryn R.Kolesar, Claire N.Mattson, <strong>Peter K. Peterson</strong>, Nathaniel W.May, Rashad K.Prendergast, and Kerri A.Pratt. (2018). "Increases in wintertime PM2.5 sodium and chloride linked to snowfall and road salt application" <i>Atmospheric Environment</i>. 177.	paper-12	https://www.sciencedirect.com/science/article/pii/S1352231018300141
2017-06-22	Observations of bromine monoxide transport in the Arctic sustained on aerosol particles	Atmospheric Chemistry and Physics		<strong>Peter K. Peterson</strong>, Denis Pohler, Holger Sihler, Johannes Zielcke, Stephan General, Udo Friess, Ulrich Platt, William R. Simpson, Son V. Nghiem, Paul B. Shepson, Brian H. Stirm, Suresh Dhaniyala, Thomas Wagner, Dana R. Caulton, Jose D. Fuentes, and Kerri A. Pratt. (2017). "Observations of bromine monoxide transport in the Arctic sustained on aerosol particles" <i>Atmospheric Chemistry and Physics</i>. 17(12).	paper-11	https://www.atmos-chem-phys.net/17/7567/2017/
2017-08-04	Horizontal and Vertical Structure of Reactive Bromine Events Probed by Bromine Monoxide MAX-DOAS Spectroscopy	Atmospheric Chemistry and Physics		William R. Simpson, <strong>Peter K. Peterson</strong>, Udo Friess, Holger Sihler, Johannes Lampel, Ulrich Platt, Chris Moore, Kerri A. Pratt, Paul B. Shepson, John W. Halfacre, and Son V. Nghiem. (2017). "Horizontal and Vertical Structure of Reactive Bromine Events Probed by Bromine Monoxide MAX-DOAS Spectroscopy" <i>Atmospheric Chemistry and Physics</i>. 17(12).	paper-10	https://www.atmos-chem-phys.net/17/9291/2017/
2017-08-16	Snow Melt Onset Hinders Bromine Monoxide Heterogeneous Recycling in the Arctic	Journal of Geophysical Research:Atmospheres		Justine A. Burd, <strong>Peter K. Peterson</strong>, Son V. Nghiem, Don K. Perovich, and William R. Simpson. (2017). "Snow Melt Onset Hinders Bromine Monoxide Heterogeneous Recycling in the Arctic" <i>J. Geophys. Res. Atmos.</i>. 17(12).	paper-09	https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017JD026906
2017-03-01	Effect of Prudhoe Bay Emissions on Atmospheric Aerosol Growth Events Observed in Utqiagvik (Barrow), Alaska	Atmospheric Environment		Katheryn R. Kolesar, Jillian Cellini, <strong>Peter  K. Peterson</strong>, Anne Jefferson, Thomas Tuch, Wolfram Birmili, Alfred Wiedensohler, and Kerri A. Pratt. (2017). "Effect of Prudhoe Bay Emissions on Atmospheric Aerosol Growth Events Observed in Utqiagvik (Barrow), Alaska" <i>Atmospheric Environment</i>. 17(3).	paper-08	https://www.sciencedirect.com/science/article/pii/S1352231016309785
2016-05-20	The Role of Open Lead Interactions in Atmospheric Ozone Variability Between Arctic Coastal and Inland Sites	Elementa Science of the Anthropocene		<strong>Peter K. Peterson</strong>, Kerri A. Pratt, William R. Simpson, Son V. Nghiem, Lemuel X. Perez Perez, Eric J. Boone, Denis Pohler, Johannes Xielcke, Stephan General, Paul B. Shepson, Udo Friess, Ulrich Platt, and Brian H. Stirm. (2016). "The Role of Open Lead Interactions in Atmospheric Ozone Variability Between Arctic Coastal and Inland Sites" <i>Elementa: Science of the Anthropocene</i>. 16(5).	paper-07	https://www.elementascience.org/articles/10.12952/journal.elementa.000109/
2016-02-16	Variability of Bromine Monoxide at Barrow, Alaska Over Four Halogen Activation (March-May) Seasons and at Two On-Ice Locations	J. Geophys. Res. Atmos.		<strong>Peterson, P. K.</strong>, William R. Simpson, and Son V. Nghiem. (2016). "Variability of Bromine Monoxide at Barrow, Alaska Over Four Halogen Activation (March-May) Seasons and at Two On-Ice Locations" <i>J. Geophys. Res. Atmos.</i>, 121.	paper-06	https://doi.org/10.1002/2015JD024094
2016-11-18	Spin-lattice coupling in Ni(HF2)(pyrazine)2SbF6 involving the HF2-  superexchange pathway	Inorganic Chemistry		Kenneth R ONeal, Brian S Holinsworth, Zhiguo Chen, <strong>Peter K Peterson</strong>, Kimberly E Carreiro, Changhoon Lee, Jamie L Manson, Myung-Hwan Whangbo, Zhiqiang Li, Zhenxian Liu, and Janice L Musfeldt. (2016). "Spin-lattice coupling in Ni(HF2)(pyrazine)2SbF6 involving the HF2-  superexchange pathway" <i>Inorganic Chemistry</i>, 55(23).	paper-05	https://doi.org/10.1021/acs.inorgchem.6b01679